City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Vila Velha,BR,2022-07-16 23:53:40,-20.3297,-40.2925,73.35,88,0,11.5
132,Verkhoyansk,RU,2022-07-16 23:53:40,67.5447,133.385,52.74,83,100,3.78
133,Fortuna,US,2022-07-16 23:50:56,40.5982,-124.1573,70.86,72,26,8.01
134,Saint George,US,2022-07-16 23:54:41,37.1041,-113.5841,110.62,14,0,6.91
135,Healdsburg,US,2022-07-16 23:54:41,38.6105,-122.8692,107.01,28,0,5.01
136,Moroto,UG,2022-07-16 23:54:42,2.5345,34.6666,68.18,71,86,3.91
137,Goderich,CA,2022-07-16 23:54:42,43.7501,-81.7165,77.32,47,86,5.75
138,Lichinga,MZ,2022-07-16 23:54:42,-13.3128,35.2406,47.3,94,5,3.06
139,Batagay-Alyta,RU,2022-07-16 23:54:43,67.8006,130.4114,48.07,82,100,4.92
140,Kindu,CD,2022-07-16 23:54:43,-2.95,25.95,75.07,70,39,2.19
141,Kapoeta,SS,2022-07-16 23:54:43,4.7717,33.5903,73.72,74,75,1.77
142,Mushie,CD,2022-07-16 23:54:44,-3.0167,16.9,78.73,42,49,1.66
143,Chokurdakh,RU,2022-07-16 23:54:44,70.6333,147.9167,44.4,64,100,20.45
144,Shirokiy,RU,2022-07-16 23:54:45,49.758,129.523,66.27,97,100,4.41
145,Saint-Denis,FR,2022-07-16 23:54:45,48.9167,2.3333,72.14,49,0,11.5
146,Pisco,PE,2022-07-16 23:54:46,-13.7,-76.2167,63.01,72,9,9.22
147,Saskylakh,RU,2022-07-16 23:54:46,71.9167,114.0833,56.21,62,58,10.27
148,Chicama,PE,2022-07-16 23:54:46,-7.8447,-79.1469,59.54,80,9,7.87
149,Paragominas,BR,2022-07-16 23:54:47,-2.9667,-47.4833,78.91,66,99,3.2
150,Torbay,CA,2022-07-16 23:54:47,47.6666,-52.7314,66.97,69,40,14.97
151,Dikson,RU,2022-07-16 23:54:42,73.5069,80.5464,47.43,68,45,4.38
152,La Ronge,CA,2022-07-16 23:54:48,55.1001,-105.2842,79.05,47,40,6.91
153,Isangel,VU,2022-07-16 23:54:48,-19.55,169.2667,73.02,70,50,20.49
154,Lujan,AR,2022-07-16 23:50:02,-34.5703,-59.105,49.71,68,94,3.0
155,Acapulco,MX,2022-07-16 23:52:31,16.8634,-99.8901,82.35,81,99,12.17
156,Lorengau,PG,2022-07-16 23:54:49,-2.0226,147.2712,84.76,70,7,10.69
157,Vestmannaeyjar,IS,2022-07-16 23:54:49,63.4427,-20.2734,51.17,81,100,5.79
158,Namibe,AO,2022-07-16 23:54:49,-15.1961,12.1522,67.28,80,35,7.56
159,Faanui,PF,2022-07-16 23:54:50,-16.4833,-151.75,77.5,62,69,23.69
160,Kamenka,RU,2022-07-16 23:54:50,51.3223,42.7678,62.69,81,85,7.38
161,Nurma,RU,2022-07-16 23:54:51,59.55,31.0167,48.45,88,39,5.3
162,Bud,US,2022-07-16 23:54:51,39.447,-86.1758,88.05,64,44,5.12
163,Melilla,ES,2022-07-16 23:49:54,35.2937,-2.9383,77.38,83,0,4.61
164,Igrim,RU,2022-07-16 23:54:51,63.1906,64.4162,57.94,65,89,3.98
165,Atasu,KZ,2022-07-16 23:54:52,48.6814,71.6433,70.72,51,0,9.13
166,Hegang,CN,2022-07-16 23:54:52,47.4,130.3667,61.97,99,100,6.53
167,Gravina In Puglia,IT,2022-07-16 23:54:52,40.8197,16.4228,82.54,39,0,1.52
168,Mehamn,NO,2022-07-16 23:54:53,71.0357,27.8492,51.75,93,100,23.02
169,Kaspiyskiy,RU,2022-07-16 23:54:53,45.3929,47.3707,78.37,74,0,4.12
170,Nikolskoye,RU,2022-07-16 23:54:54,59.7035,30.7861,52.81,92,34,5.48
171,San Patricio,US,2022-07-16 23:54:54,28.017,-97.5169,92.53,47,6,15.59
172,Salalah,OM,2022-07-16 23:54:54,17.0151,54.0924,76.98,96,100,8.66
173,Langenzersdorf,AT,2022-07-16 23:54:55,48.3,16.35,69.24,64,86,1.01
174,Katsuura,JP,2022-07-16 23:54:55,35.1333,140.3,77.02,87,100,17.16
175,Yellowknife,CA,2022-07-16 23:53:34,62.456,-114.3525,64.92,82,75,3.44
176,Esperance,AU,2022-07-16 23:54:56,-33.8667,121.9,53.65,78,17,6.06
